Source Port,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,SimillarHTTP,Inbound
10055,20055,6,1055000,4,1,27500,11000,300,100,200,50,250,90,170,40,27.5,55000,2055,155,255,10,555,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12055,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,5500,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,1
10035,20035,6,1035000,4,1,17500,7000,300,100,200,50,250,90,170,40,17.5,35000,2035,135,235,10,535,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12035,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,3500,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,1
10044,20044,6,1044000,4,1,22000,8800,300,100,200,50,250,90,170,40,22.0,44000,2044,144,244,10,544,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12044,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,4400,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,0
10072,20072,6,1072000,4,1,36000,14400,300,100,200,50,250,90,170,40,36.0,72000,2072,172,272,10,572,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12072,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,7200,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,0
10010,20010,6,1010000,4,1,5000,2000,300,100,200,50,250,90,170,40,5.0,10000,2010,110,210,10,510,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12010,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,1000,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,0
10022,20022,6,1022000,4,1,11000,4400,300,100,200,50,250,90,170,40,11.0,22000,2022,122,222,10,522,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12022,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,2200,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,0
10032,20032,6,1032000,4,1,16000,6400,300,100,200,50,250,90,170,40,16.0,32000,2032,132,232,10,532,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12032,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,3200,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,0
10098,20098,6,1098000,4,1,49000,19600,300,100,200,50,250,90,170,40,49.0,98000,2098,198,298,10,598,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12098,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,9800,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,0
10011,20011,6,1011000,4,1,5500,2200,300,100,200,50,250,90,170,40,5.5,11000,2011,111,211,10,511,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12011,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,1100,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,1
10097,20097,6,1097000,4,1,48500,19400,300,100,200,50,250,90,170,40,48.5,97000,2097,197,297,10,597,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12097,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,9700,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,1
10004,20004,6,1004000,4,1,2000,800,300,100,200,50,250,90,170,40,2.0,4000,2004,104,204,10,504,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12004,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,400,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,0
10092,20092,6,1092000,4,1,46000,18400,300,100,200,50,250,90,170,40,46.0,92000,2092,192,292,10,592,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12092,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,9200,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,0
10024,20024,6,1024000,4,1,12000,4800,300,100,200,50,250,90,170,40,12.0,24000,2024,124,224,10,524,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12024,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,2400,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,0
10074,20074,6,1074000,4,1,37000,14800,300,100,200,50,250,90,170,40,37.0,74000,2074,174,274,10,574,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12074,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,7400,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,0
10056,20056,6,1056000,4,1,28000,11200,300,100,200,50,250,90,170,40,28.0,56000,2056,156,256,10,556,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12056,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,5600,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,0
10083,20083,6,1083000,4,1,41500,16600,300,100,200,50,250,90,170,40,41.5,83000,2083,183,283,10,583,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12083,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,8300,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,1
10069,20069,6,1069000,4,1,34500,13800,300,100,200,50,250,90,170,40,34.5,69000,2069,169,269,10,569,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12069,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,6900,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,1
10087,20087,6,1087000,4,1,43500,17400,300,100,200,50,250,90,170,40,43.5,87000,2087,187,287,10,587,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12087,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,8700,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,1
10048,20048,6,1048000,4,1,24000,9600,300,100,200,50,250,90,170,40,24.0,48000,2048,148,248,10,548,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12048,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,4800,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,0
10000,20000,6,1000000,4,1,0,0,300,100,200,50,250,90,170,40,0.0,0,2000,100,200,10,500,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12000,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,0,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,0
10067,20067,6,1067000,4,1,33500,13400,300,100,200,50,250,90,170,40,33.5,67000,2067,167,267,10,567,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12067,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,6700,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,1
10080,20080,6,1080000,4,1,40000,16000,300,100,200,50,250,90,170,40,40.0,80000,2080,180,280,10,580,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12080,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,8000,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,0
10091,20091,6,1091000,4,1,45500,18200,300,100,200,50,250,90,170,40,45.5,91000,2091,191,291,10,591,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12091,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,9100,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,1
10017,20017,6,1017000,4,1,8500,3400,300,100,200,50,250,90,170,40,8.5,17000,2017,117,217,10,517,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12017,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,1700,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,1
10006,20006,6,1006000,4,1,3000,1200,300,100,200,50,250,90,170,40,3.0,6000,2006,106,206,10,506,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12006,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,600,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,0
10034,20034,6,1034000,4,1,17000,6800,300,100,200,50,250,90,170,40,17.0,34000,2034,134,234,10,534,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12034,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,3400,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,0
10060,20060,6,1060000,4,1,30000,12000,300,100,200,50,250,90,170,40,30.0,60000,2060,160,260,10,560,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12060,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,6000,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,0
10096,20096,6,1096000,4,1,48000,19200,300,100,200,50,250,90,170,40,48.0,96000,2096,196,296,10,596,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12096,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,9600,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,0
10051,20051,6,1051000,4,1,25500,10200,300,100,200,50,250,90,170,40,25.5,51000,2051,151,251,10,551,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12051,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,5100,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,1
10073,20073,6,1073000,4,1,36500,14600,300,100,200,50,250,90,170,40,36.5,73000,2073,173,273,10,573,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12073,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,7300,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,1
10094,20094,6,1094000,4,1,47000,18800,300,100,200,50,250,90,170,40,47.0,94000,2094,194,294,10,594,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12094,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,9400,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,0
10075,20075,6,1075000,4,1,37500,15000,300,100,200,50,250,90,170,40,37.5,75000,2075,175,275,10,575,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12075,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,7500,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,1
10064,20064,6,1064000,4,1,32000,12800,300,100,200,50,250,90,170,40,32.0,64000,2064,164,264,10,564,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12064,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,6400,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,0
10093,20093,6,1093000,4,1,46500,18600,300,100,200,50,250,90,170,40,46.5,93000,2093,193,293,10,593,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12093,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,9300,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,1
10084,20084,6,1084000,4,1,42000,16800,300,100,200,50,250,90,170,40,42.0,84000,2084,184,284,10,584,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12084,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,8400,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,0
10046,20046,6,1046000,4,1,23000,9200,300,100,200,50,250,90,170,40,23.0,46000,2046,146,246,10,546,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12046,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,4600,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,0
10065,20065,6,1065000,4,1,32500,13000,300,100,200,50,250,90,170,40,32.5,65000,2065,165,265,10,565,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12065,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,6500,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,1
10063,20063,6,1063000,4,1,31500,12600,300,100,200,50,250,90,170,40,31.5,63000,2063,163,263,10,563,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12063,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,6300,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,1
10081,20081,6,1081000,4,1,40500,16200,300,100,200,50,250,90,170,40,40.5,81000,2081,181,281,10,581,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12081,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,8100,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,1
10028,20028,6,1028000,4,1,14000,5600,300,100,200,50,250,90,170,40,14.0,28000,2028,128,228,10,528,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12028,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,2800,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,0
10061,20061,6,1061000,4,1,30500,12200,300,100,200,50,250,90,170,40,30.5,61000,2061,161,261,10,561,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12061,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,6100,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,1
10076,20076,6,1076000,4,1,38000,15200,300,100,200,50,250,90,170,40,38.0,76000,2076,176,276,10,576,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12076,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,7600,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,0
10025,20025,6,1025000,4,1,12500,5000,300,100,200,50,250,90,170,40,12.5,25000,2025,125,225,10,525,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12025,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,2500,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,1
10071,20071,6,1071000,4,1,35500,14200,300,100,200,50,250,90,170,40,35.5,71000,2071,171,271,10,571,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12071,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,7100,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,1
10040,20040,6,1040000,4,1,20000,8000,300,100,200,50,250,90,170,40,20.0,40000,2040,140,240,10,540,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12040,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,4000,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,0
10013,20013,6,1013000,4,1,6500,2600,300,100,200,50,250,90,170,40,6.5,13000,2013,113,213,10,513,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12013,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,1300,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,1
10049,20049,6,1049000,4,1,24500,9800,300,100,200,50,250,90,170,40,24.5,49000,2049,149,249,10,549,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12049,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,4900,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,1
10089,20089,6,1089000,4,1,44500,17800,300,100,200,50,250,90,170,40,44.5,89000,2089,189,289,10,589,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12089,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,8900,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,1
10053,20053,6,1053000,4,1,26500,10600,300,100,200,50,250,90,170,40,26.5,53000,2053,153,253,10,553,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12053,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,5300,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,1
10088,20088,6,1088000,4,1,44000,17600,300,100,200,50,250,90,170,40,44.0,88000,2088,188,288,10,588,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12088,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,8800,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,0
